Social,Page url,Reg Date,Subscribers,media_kind,Post Url,media_views,post_likes,media_likes,reposts,post_views,Comments,ER Post,ER View,VR Post,Text,Date
VK,https://vk.com/club235734976,2026-02-02,1187,clip,https://vk.com/wall-235734976_1659,115,1,3,1,41,0,4.88,3.48,2.80,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-12 01:53:02 MSK
VK,https://vk.com/club235734976,2026-02-03,1187,clip,https://vk.com/wall-235734976_1651,50,0,0,0,20,0,0.00,0.00,2.50,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-11 01:37:27 MSK
VK,https://vk.com/club235734976,2026-02-04,1187,clip,https://vk.com/wall-235734976_1647,55,2,2,0,21,0,9.52,3.64,2.62,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-10 16:18:10 MSK
VK,https://vk.com/club235734976,2026-02-05,1187,clip,https://vk.com/wall-235734976_1646,55,2,5,0,21,0,9.52,9.09,2.62,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-10 01:44:10 MSK
VK,https://vk.com/club235734976,2026-02-06,1187,clip,https://vk.com/wall-235734976_1642,49,2,2,2,13,0,30.77,8.16,3.77,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-09 16:54:01 MSK
VK,https://vk.com/club235734976,2026-02-07,1187,clip,https://vk.com/wall-235734976_1641,28,1,1,1,7,0,28.57,7.14,4.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-09 12:17:41 MSK
VK,https://vk.com/club235734976,2026-02-08,1187,clip,https://vk.com/wall-235734976_1640,269,0,0,1,4,0,25.00,0.37,67.25,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-09 11:37:11 MSK
VK,https://vk.com/club235734976,2026-02-09,1187,clip,https://vk.com/wall-235734976_1636,30,1,1,0,9,0,11.11,3.33,3.33,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-09 01:35:10 MSK
VK,https://vk.com/club235734976,2026-02-10,1187,clip,https://vk.com/wall-235734976_1633,532,7,7,0,9,0,77.78,1.32,59.11,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-08 18:41:45 MSK
VK,https://vk.com/club235734976,2026-02-11,1187,clip,https://vk.com/wall-235734976_1632,29,0,0,0,3,0,0.00,0.00,9.67,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-08 16:30:19 MSK
VK,https://vk.com/club235734976,2026-02-12,1187,clip,https://vk.com/wall-235734976_1631,34,0,1,0,1,0,0.00,2.94,34.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-08 15:01:16 MSK
VK,https://vk.com/club235734976,2026-02-13,1187,clip,https://vk.com/wall-235734976_1629,32,0,0,0,1,0,0.00,0.00,32.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-08 12:09:54 MSK
VK,https://vk.com/club235734976,2026-02-14,1187,clip,https://vk.com/wall-235734976_1628,32,0,1,0,1,0,0.00,3.12,32.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-08 11:23:48 MSK
VK,https://vk.com/club235734976,2026-02-15,1187,clip,https://vk.com/wall-235734976_1625,18,0,0,0,2,0,0.00,0.00,9.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-08 01:41:58 MSK
VK,https://vk.com/club235734976,2026-02-16,1187,clip,https://vk.com/wall-235734976_1622,56,1,2,0,4,0,25.00,3.57,14.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-07 01:03:28 MSK
VK,https://vk.com/club235734976,2026-02-17,1187,clip,https://vk.com/wall-235734976_1620,81,0,0,0,1,0,0.00,0.00,81.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-06 21:14:40 MSK
VK,https://vk.com/club235734976,2026-02-18,1187,clip,https://vk.com/wall-235734976_1546,61,0,1,0,29,0,0.00,1.64,2.10,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-01 18:43:57 MSK
VK,https://vk.com/club235734976,2026-02-19,1187,clip,https://vk.com/wall-235734976_1544,155,3,3,0,8,0,37.50,1.94,19.38,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-01 16:32:34 MSK
VK,https://vk.com/club235734976,2026-02-20,1187,clip,https://vk.com/wall-235734976_1529,25,0,0,0,4,0,0.00,0.00,6.25,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-28 18:45:26 MSK
VK,https://vk.com/club235734976,2026-02-21,1187,clip,https://vk.com/wall-235734976_1521,31,1,2,0,5,0,20.00,6.45,6.20,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-28 15:06:47 MSK
VK,https://vk.com/club235734976,2026-02-22,1187,clip,https://vk.com/wall-235734976_1517,27,0,0,0,4,0,0.00,0.00,6.75,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-28 11:27:45 MSK
VK,https://vk.com/club235734976,2026-02-23,1187,clip,https://vk.com/wall-235734976_1492,96,0,0,0,5,0,0.00,0.00,19.20,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-27 18:30:41 MSK
VK,https://vk.com/club235734976,2026-02-24,1187,clip,https://vk.com/wall-235734976_1486,32,0,3,0,4,0,0.00,9.38,8.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-27 14:50:59 MSK
VK,https://vk.com/club235734976,2026-02-25,1187,clip,https://vk.com/wall-235734976_1482,253,1,1,0,6,0,16.67,0.40,42.17,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-27 12:46:46 MSK
